GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
row-column-value-store-api,com.jivesoftware.os.rcvs.api.timestamper,ConstantTimestamper,21,0,0,0,5,0,3,0,3,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api.timestamper,AtomicIncrementingTimestamper,13,0,0,0,4,0,2,0,2,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api.timestamper,CurrentTimestamper,5,0,0,0,2,0,2,0,2,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,TenantKeyedColumnValueCallbackStream,44,0,0,0,9,0,5,0,5,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,ThunderingHerd,66,0,4,0,19,0,7,0,5,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,DefaultRowColumnValueStoreMarshaller,266,0,4,0,47,0,13,0,11,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,MasterSlaveHASetOfSortedMaps.new Object() {...},19,0,0,0,1,0,1,0,1,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,ColumnValueAndTimestamp,151,0,28,0,26,0,21,0,7,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,TenantFirstRowColumnValueStoreMarshaller,227,0,2,0,38,0,9,0,8,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,NeverAcceptsFailureSetOfSortedMaps,730,0,0,0,157,0,25,0,25,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,TenantRowColumnTimestampRemove,192,0,36,0,31,0,26,0,8,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,FixedWidthSymetricalHashableMarshaller,26,101,4,8,6,21,6,5,2,3
row-column-value-store-api,com.jivesoftware.os.rcvs.api,RowColumValueTimestampAdd,192,0,36,0,31,0,26,0,8,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,RowColumnValueStoreMarshallerException,9,0,0,0,4,0,2,0,2,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,CallbackStreamException,23,0,0,0,10,0,5,0,5,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,KeyToStringUtils,51,0,4,0,8,0,5,0,3,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,MultiRemove,47,0,2,0,11,0,5,0,4,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,TenantIdAndRow,111,0,20,0,21,0,16,0,6,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,TenantRowColumValueTimestampAdd,232,0,44,0,36,0,31,0,9,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,KeyedColumnValueCallbackStream,33,0,0,0,7,0,4,0,4,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,MultiAdd,49,0,2,0,11,0,5,0,4,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,MasterSlaveHASetOfSortedMaps.ReadFailureMode,48,0,0,0,2,0,4,0,4,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,TenantLengthAndTenantFirstRowColumnValueStoreMarshaller,224,0,2,0,38,0,9,0,8,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,MasterSlaveHASetOfSortedMaps,273,0,3,0,61,0,27,0,25,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api,RowColumnTimestampRemove,152,0,28,0,26,0,21,0,7,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api.keys,SymetricalHashableKey.new CacheLoader() {...},14,19,0,0,3,4,0,2,0,2
row-column-value-store-api,com.jivesoftware.os.rcvs.api.keys,ReverseKey,66,0,4,0,15,0,4,0,2,0
row-column-value-store-api,com.jivesoftware.os.rcvs.api.keys,SymetricalHashableKey.new CacheLoader() {...},14,19,0,0,3,4,0,2,0,2
row-column-value-store-api,com.jivesoftware.os.rcvs.api.keys,SymetricalHashableKey,40,72,4,4,4,15,4,4,0,4
